Rank,Team,Date and Time,AP,Latency (ms),Energy,Score
1st,spring,2021-08-31 23:57:54,Not Graded,26.625,Not Graded,120.296
2nd,spring,2021-08-30 23:58:07,Not Graded,27.064,Not Graded,98.357
3rd,MIT HANLAB,2021-08-31 9:26:22,Not Graded,34.849,Not Graded,38.58
4th,spring,2021-08-28 23:49:00,Not Graded,32.757,Not Graded,37.036
5th,MIT HANLAB,2021-08-30 7:26:21,Not Graded,34.305,Not Graded,34.731
6th,spring,2021-08-29 23:38:21,Not Graded,31.425,Not Graded,34.28
7th,spring,2021-08-28 0:00:07,Not Graded,42.057,Not Graded,32.603
8th,NYCity,2021-08-31 14:01:55,Not Graded,46.289,Not Graded,27.036
9th,IronGroup,2021-08-31 23:40:15,Not Graded,54.633,Not Graded,25.546
10th,NYCity,2021-08-30 12:01:06,Not Graded,46.252,Not Graded,25.264
11th,IronGroup,2021-08-30 23:18:12,Not Graded,55.93,Not Graded,24.111
12th,NYCity,2021-08-29 11:52:45,Not Graded,50.173,Not Graded,21.394
13th,NYCity,2021-08-27 13:10:17,Not Graded,47.22,Not Graded,19.482
14th,IronGroup,2021-08-29 23:40:32,Not Graded,50.784,Not Graded,18.243
15th,NYCity,2021-08-26 12:21:58,Not Graded,45.84,Not Graded,17.084
16th,IronGroup,2021-08-28 23:26:36,Not Graded,45.121,Not Graded,17.012
17th,HZ_Turbo,2021-09-01 7:24:42,Not Graded,53.188,Not Graded,16.468
18th,Hummer,2021-08-31 22:15:32,Not Graded,45.1,Not Graded,15.95
19th,NYCity,2021-08-28 12:03:35,Not Graded,50.327,Not Graded,15.339
20th,Novauto,2021-08-24 23:58:24,Not Graded,70.555,Not Graded,14.638
21st,HZ_Turbo,2021-08-31 23:45:31,Not Graded,55.006,Not Graded,14.596
22nd,Hummer,2021-08-28 14:30:30,Not Graded,46.486,Not Graded,14.553
23rd,BuzzerBeat,2021-08-31 12:52:47,Not Graded,50.239,Not Graded,14.37
24th,MIT HANLAB,2021-08-24 0:36:33,Not Graded,40.542,Not Graded,13.704
25th,Hummer,2021-08-30 23:33:25,Not Graded,48.385,Not Graded,13.276
26th,BuzzerBeat,2021-08-30 5:33:39,Not Graded,50.886,Not Graded,13.174
27th,Hummer,2021-08-27 13:53:45,Not Graded,48.633,Not Graded,13.13
28th,BuzzerBeat,2021-08-30 4:17:45,Not Graded,54.835,Not Graded,12.44
29th,NYCity,2021-08-24 12:24:38,Not Graded,50.867,Not Graded,11.367
30th,Hummer,2021-08-26 12:31:02,Not Graded,47.721,Not Graded,10.987
31st,NYCity,2021-08-25 12:46:32,Not Graded,51.728,Not Graded,10.517
32nd,Hummer,2021-08-29 23:34:41,Not Graded,51.194,Not Graded,10.464
33rd,IronGroup,2021-08-26 23:27:08,Not Graded,85.544,Not Graded,8.36
34th,NYCity,2021-08-21 12:18:00,Not Graded,56.56,Not Graded,7.83
35th,NYCity,2021-08-22 13:39:47,Not Graded,57.187,Not Graded,7.537
36th,Hummer,2021-08-24 15:32:28,Not Graded,59.217,Not Graded,7.435
37th,Hummer,2021-08-23 14:00:33,Not Graded,55.8,Not Graded,7.431
38th,Hummer,2021-08-25 14:57:33,Not Graded,56.768,Not Graded,6.772
39th,BuzzerBeat,2021-08-26 12:45:23,Not Graded,74.038,Not Graded,5.398
40th,IronGroup,2021-08-24 1:39:03,Not Graded,104.32,Not Graded,5.351
41st,flash,2021-08-08 23:14:39,Not Graded,101.92,Not Graded,1.502
42nd,flash,2021-08-30 12:12:46,Not Graded,103.557,Not Graded,1.414
43rd,flash,2021-08-08 2:32:36,Not Graded,103.3,Not Graded,1.409
44th,HZ_Turbo,2021-08-22 23:19:38,Not Graded,140.56,Not Graded,0.745
45th,Hummer,2021-08-21 13:36:54,Not Graded,88.997,Not Graded,0.474
46th,Novauto,2021-08-19 22:53:01,Not Graded,173.444,Not Graded,0.407
47th,HZ_Turbo,2021-08-29 23:42:36,Not Graded,172.665,Not Graded,0.153
48th,flash,2021-08-09 23:20:30,Not Graded,176.01,Not Graded,0.125
49th,flash,2021-08-05 23:44:18,Not Graded,176.87,Not Graded,0.118
50th,HZ_Turbo,2021-08-23 23:56:15,Not Graded,182.484,Not Graded,0.0763